filename,img_width,img_height,class,xmin,ymin,xmax,ymax,bbox_width,bbox_height,bbox_area,rel_bbox_width,rel_bbox_height,rel_bbox_area
img-1.jpg,720,720,medium_pothole,213,240,525,378,312,138,43056,0.43333333333333335,0.19166666666666668,0.08305555555555555
img-10.jpg,720,720,medium_pothole,285,214,444,355,159,141,22419,0.22083333333333333,0.19583333333333333,0.04324652777777778
img-100.jpg,720,720,minor_pothole,235,272,434,388,199,116,23084,0.2763888888888889,0.16111111111111112,0.044529320987654324
img-101.jpg,720,720,medium_pothole,228,303,394,432,166,129,21414,0.23055555555555557,0.17916666666666667,0.04130787037037037
img-101.jpg,720,720,minor_pothole,397,317,554,411,157,94,14758,0.21805555555555556,0.13055555555555556,0.028468364197530863
img-102.jpg,720,720,minor_pothole,230,246,492,550,262,304,79648,0.3638888888888889,0.4222222222222222,0.153641975308642
img-103.jpg,720,720,medium_pothole,264,251,479,366,215,115,24725,0.2986111111111111,0.1597222222222222,0.04769483024691358
img-104.jpg,720,720,major_pothole,235,164,480,335,245,171,41895,0.3402777777777778,0.2375,0.08081597222222223
img-104.jpg,720,720,minor_pothole,441,433,506,492,65,59,3835,0.09027777777777778,0.08194444444444444,0.007397762345679013
img-105.jpg,720,720,minor_pothole,293,296,444,409,151,113,17063,0.20972222222222223,0.15694444444444444,0.032914737654320986
img-105.jpg,720,720,minor_pothole,297,453,340,490,43,37,1591,0.059722222222222225,0.05138888888888889,0.003069058641975309
img-106.jpg,720,720,medium_pothole,144,168,511,475,367,307,112669,0.5097222222222222,0.4263888888888889,0.21733989197530865
img-106.jpg,720,720,minor_pothole,492,141,605,305,113,164,18532,0.15694444444444444,0.22777777777777777,0.03574845679012346
img-107.jpg,720,720,medium_pothole,230,286,456,459,226,173,39098,0.3138888888888889,0.24027777777777778,0.07542052469135803
img-108.jpg,720,720,major_pothole,270,198,442,326,172,128,22016,0.2388888888888889,0.17777777777777778,0.04246913580246914
img-108.jpg,720,720,minor_pothole,232,261,305,328,73,67,4891,0.10138888888888889,0.09305555555555556,0.009434799382716049
img-108.jpg,720,720,minor_pothole,513,187,572,219,59,32,1888,0.08194444444444444,0.044444444444444446,0.0036419753086419752
img-108.jpg,720,720,minor_pothole,266,573,384,695,118,122,14396,0.1638888888888889,0.16944444444444445,0.02777006172839506
img-108.jpg,720,720,minor_pothole,672,481,720,544,48,63,3024,0.06666666666666667,0.0875,0.005833333333333334
img-109.jpg,720,720,medium_pothole,337,244,451,337,114,93,10602,0.15833333333333333,0.12916666666666668,0.02045138888888889
img-109.jpg,720,720,medium_pothole,282,362,454,528,172,166,28552,0.2388888888888889,0.23055555555555557,0.05507716049382716
img-109.jpg,720,720,minor_pothole,60,428,228,522,168,94,15792,0.23333333333333334,0.13055555555555556,0.030462962962962963
img-11.jpg,720,720,medium_pothole,223,245,466,489,243,244,59292,0.3375,0.3388888888888889,0.114375
img-110.jpg,720,720,medium_pothole,224,290,638,411,414,121,50094,0.575,0.16805555555555557,0.09663194444444445
img-110.jpg,720,720,minor_pothole,82,184,180,211,98,27,2646,0.1361111111111111,0.0375,0.005104166666666667
img-111.jpg,720,720,minor_pothole,337,265,425,319,88,54,4752,0.12222222222222222,0.075,0.009166666666666667
img-111.jpg,720,720,minor_pothole,237,318,402,470,165,152,25080,0.22916666666666666,0.2111111111111111,0.04837962962962963
img-111.jpg,720,720,minor_pothole,11,489,92,596,81,107,8667,0.1125,0.1486111111111111,0.01671875
img-112.jpg,720,720,medium_pothole,176,171,513,301,337,130,43810,0.46805555555555556,0.18055555555555555,0.08451003086419753
img-113.jpg,720,720,major_pothole,90,142,595,459,505,317,160085,0.7013888888888888,0.44027777777777777,0.3088059413580247
img-114.jpg,720,720,minor_pothole,271,260,403,373,132,113,14916,0.18333333333333332,0.15694444444444444,0.02877314814814815
img-115.jpg,720,720,medium_pothole,230,275,454,394,224,119,26656,0.3111111111111111,0.16527777777777777,0.05141975308641975
img-116.jpg,720,720,medium_pothole,295,265,530,411,235,146,34310,0.3263888888888889,0.20277777777777778,0.06618441358024692
img-116.jpg,720,720,minor_pothole,90,478,181,573,91,95,8645,0.12638888888888888,0.13194444444444445,0.016676311728395062
img-117.jpg,720,720,minor_pothole,280,270,404,517,124,247,30628,0.17222222222222222,0.34305555555555556,0.05908179012345679
img-117.jpg,720,720,minor_pothole,271,49,379,87,108,38,4104,0.15,0.05277777777777778,0.007916666666666667
img-118.jpg,720,720,major_pothole,155,151,504,595,349,444,154956,0.4847222222222222,0.6166666666666667,0.29891203703703706
img-119.jpg,720,720,medium_pothole,188,212,395,389,207,177,36639,0.2875,0.24583333333333332,0.07067708333333333
img-119.jpg,720,720,minor_pothole,144,597,302,720,158,123,19434,0.21944444444444444,0.17083333333333334,0.037488425925925925
img-12.jpg,720,720,medium_pothole,278,373,535,639,257,266,68362,0.35694444444444445,0.36944444444444446,0.13187114197530864
img-120.jpg,720,720,medium_pothole,242,346,492,440,250,94,23500,0.3472222222222222,0.13055555555555556,0.04533179012345679
img-121.jpg,720,720,medium_pothole,159,230,331,352,172,122,20984,0.2388888888888889,0.16944444444444445,0.040478395061728394
img-121.jpg,720,720,medium_pothole,270,368,498,547,228,179,40812,0.31666666666666665,0.24861111111111112,0.07872685185185185
img-121.jpg,720,720,minor_pothole,523,498,580,558,57,60,3420,0.07916666666666666,0.08333333333333333,0.006597222222222222
img-122.jpg,720,720,medium_pothole,260,288,476,430,216,142,30672,0.3,0.19722222222222222,0.059166666666666666
img-123.jpg,720,720,medium_pothole,459,267,641,436,182,169,30758,0.25277777777777777,0.23472222222222222,0.05933256172839506
img-124.jpg,720,720,minor_pothole,169,32,269,80,100,48,4800,0.1388888888888889,0.06666666666666667,0.009259259259259259
img-124.jpg,720,720,major_pothole,213,236,504,492,291,256,74496,0.4041666666666667,0.35555555555555557,0.1437037037037037
img-124.jpg,720,720,minor_pothole,456,329,575,450,119,121,14399,0.16527777777777777,0.16805555555555557,0.0277758487654321
img-124.jpg,720,720,minor_pothole,513,218,554,247,41,29,1189,0.05694444444444444,0.04027777777777778,0.0022935956790123458
img-124.jpg,720,720,minor_pothole,519,33,607,146,88,113,9944,0.12222222222222222,0.15694444444444444,0.019182098765432098
img-124.jpg,720,720,minor_pothole,60,184,150,243,90,59,5310,0.125,0.08194444444444444,0.010243055555555556
img-124.jpg,720,720,minor_pothole,237,0,273,25,36,25,900,0.05,0.034722222222222224,0.001736111111111111
img-125.jpg,720,720,minor_pothole,293,302,461,410,168,108,18144,0.23333333333333334,0.15,0.035
img-125.jpg,720,720,minor_pothole,180,73,272,107,92,34,3128,0.12777777777777777,0.04722222222222222,0.00603395061728395
img-125.jpg,720,720,minor_pothole,184,111,279,150,95,39,3705,0.13194444444444445,0.05416666666666667,0.007146990740740741
img-126.jpg,720,720,medium_pothole,226,284,461,416,235,132,31020,0.3263888888888889,0.18333333333333332,0.05983796296296296
img-126.jpg,720,720,minor_pothole,479,147,560,211,81,64,5184,0.1125,0.08888888888888889,0.01
img-126.jpg,720,720,minor_pothole,0,209,48,235,48,26,1248,0.06666666666666667,0.03611111111111111,0.0024074074074074076
